Elapsed_Time_s,Gaze_X_Left,Gaze_Y_Left,Gaze_X_Right,Gaze_Y_Right,Gaze_X_Average,Gaze_Y_Average,Pupil_Diameter_Left,Pupil_Diameter_Right,Validity_Left,Validity_Right,Looking_At_Interviewer,Eye_Movement_Type
0.000,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Unknown
0.016,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
0.058,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
0.074,0.18881921470165253,0.28963905572891235,0.11084742099046707,0.10858108848333359,0.1498333178460598,0.19911007210612297,4.090484619140625,4.520172119140625,1,1,False,Saccade
0.091,0.20022419095039368,0.31831419467926025,0.15036001801490784,0.1581319272518158,0.17529210448265076,0.23822306096553802,3.8645477294921875,4.2966461181640625,1,1,False,Fixation
0.108,0.26809564232826233,0.49137791991233826,0.2054423987865448,0.35803136229515076,0.23676902055740356,0.4247046411037445,3.37109375,3.7854156494140625,1,1,False,Fixation
0.124,0.2660084068775177,0.49688899517059326,0.21120154857635498,0.3586577773094177,0.23860497772693634,0.4277733862400055,3.375640869140625,3.7805023193359375,1,1,False,Fixation
0.141,0.2668831944465637,0.5001345276832581,0.2094901204109192,0.3561640679836273,0.23818665742874146,0.4281492978334427,3.368621826171875,3.7819976806640625,1,1,False,Fixation
0.158,0.26418980956077576,0.4978705942630768,0.20467233657836914,0.35646936297416687,0.23443107306957245,0.4271699786186218,3.3665924072265625,3.793487548828125,1,1,False,Fixation
0.174,0.26579585671424866,0.5082530379295349,0.20122143626213074,0.36192068457603455,0.2335086464881897,0.43508686125278473,3.3830718994140625,3.803680419921875,1,1,False,Fixation
0.191,0.2596698999404907,0.4993593394756317,0.20244674384593964,0.34499290585517883,0.23105832189321518,0.4221761226654053,3.3873291015625,3.8017730712890625,1,1,False,Fixation
